year,electronic surveillance or physical search,"pen register, trap & trace device",business records,modified applications for business records
1996,839,#N/A,#N/A,#N/A
1997,749,#N/A,#N/A,#N/A
1998,796,#N/A,#N/A,#N/A
1999,886,#N/A,#N/A,#N/A
2000,1005,#N/A,#N/A,#N/A
2001,932,#N/A,#N/A,#N/A
2002,1228,#N/A,#N/A,#N/A
2003,1727,#N/A,#N/A,#N/A
2004,1758,#N/A,#N/A,#N/A
2005,2074,#N/A,155,2
2006,2181,#N/A,43,4
2007,2371,#N/A,17,0
2008,2082,#N/A,13,0
2009,1376,#N/A,21,9
2010,1579,#N/A,96,43
2011,1745,#N/A,205,176
2012,1856,#N/A,212,200
2013,1655,#N/A,178,141
2014,1416,#N/A,170,4
2015,1499,40,142,5
2016,1477,60,124,1
2017,1349,34,117,0
2018,1117,34,70,1
2019,848,24,61,4
2020,478,15,28,2
2021,388,10,12,0
2022,317,4,10,0