TR Period,TR Start Date,TR End Date,Country/Region,Platform Policy Violation Takedown Requests Received,Apps Specified in Requests,Requests Objected to in Part or Rejected in Full,Requests where App Removed,Apps Removed,Appeals Received,Appeals Granted,Apps Reinstated
2018 H2,7/1/18,12/31/18,N/A,0,0,0,0,0,0,0,0
2019 H1,1/1/19,6/30/19,China mainland,22,94,0,22,94,0,0,0
2019 H1,1/1/19,6/30/19,Russia,3,3,0,3,3,0,0,0
2019 H2,7/1/19,12/31/19,Brazil,1,1,0,1,1,0,0,0
2019 H2,7/1/19,12/31/19,Canada,1,1,0,1,1,0,0,0
2019 H2,7/1/19,12/31/19,China mainland,15,35,0,15,35,0,0,0
2020 H1,1/1/20,6/30/20,China mainland,16,38,0,16,38,0,0,0
2020 H1,1/1/20,6/30/20,Kuwait,1,1,0,1,1,0,0,0
2020 H2,7/1/20,12/31/20,Netherlands,1,1,0,1,1,0,0,0
2020 H2,7/1/20,12/31/20,Russia,3,16,0,3,16,0,0,0
2020 H2,7/1/20,12/31/20,Saudi Arabia,1,1,0,1,1,0,0,0
2021 H1,1/1/21,6/30/21,China mainland,1,4,0,1,4,0,0,0
2021 H1,1/1/21,6/30/21,Pakistan,1,1,0,1,1,0,0,0
2021 H1,1/1/21,6/30/21,Russia,1,1,0,1,1,0,0,0
2021 H2,7/1/21,12/31/21,Russia,1,1,0,1,1,0,0,0